,last_name,full_name,type,state,district
389,Hickenlooper,John W. Hickenlooper,sen,CO,
390,Hagerty,Bill Hagerty,sen,TN,
391,Carl,Jerry L. Carl,rep,AL,1.0
392,Moore,Barry Moore,rep,AL,2.0
393,Obernolte,Jay Obernolte,rep,CA,23.0
394,Kim,Young Kim,rep,CA,40.0
395,Steel,Michelle Steel,rep,CA,45.0
396,Jacobs,Sara Jacobs,rep,CA,51.0
397,Boebert,Lauren Boebert,rep,CO,3.0
398,Cammack,Kat Cammack,rep,FL,3.0
399,Franklin,C. Scott Franklin,rep,FL,18.0
400,Donalds,Byron Donalds,rep,FL,19.0
401,Gimenez,Carlos A. Gimenez,rep,FL,28.0
402,Salazar,Maria Elvira Salazar,rep,FL,27.0
403,Williams,Nikema Williams,rep,GA,5.0
404,Clyde,Andrew S. Clyde,rep,GA,9.0
405,Greene,Marjorie Taylor Greene,rep,GA,14.0
406,Hinson,Ashley Hinson,rep,IA,2.0
407,Miller-Meeks,Mariannette Miller-Meeks,rep,IA,1.0
408,Feenstra,Randy Feenstra,rep,IA,4.0
409,Miller,Mary E. Miller,rep,IL,15.0
410,Mrvan,Frank J. Mrvan,rep,IN,1.0
411,Spartz,Victoria Spartz,rep,IN,5.0
412,Mann,Tracey Mann,rep,KS,1.0
413,LaTurner,Jake LaTurner,rep,KS,2.0
414,Auchincloss,Jake Auchincloss,rep,MA,4.0
415,McClain,Lisa C. McClain,rep,MI,9.0
416,Fischbach,Michelle Fischbach,rep,MN,7.0
417,Bush,Cori Bush,rep,MO,1.0
418,Rosendale,"Matthew M. Rosendale, Sr.",rep,MT,2.0
419,Ross,Deborah K. Ross,rep,NC,2.0
420,Manning,Kathy E. Manning,rep,NC,6.0
421,Leger Fernandez,Teresa Leger Fernandez,rep,NM,3.0
422,Garbarino,Andrew R. Garbarino,rep,NY,2.0
423,Malliotakis,Nicole Malliotakis,rep,NY,11.0
424,Torres,Ritchie Torres,rep,NY,15.0
425,Bowman,Jamaal Bowman,rep,NY,16.0
426,Bice,Stephanie I. Bice,rep,OK,5.0
427,Bentz,Cliff Bentz,rep,OR,2.0
428,Mace,Nancy Mace,rep,SC,1.0
429,Harshbarger,Diana Harshbarger,rep,TN,1.0
430,Fallon,Pat Fallon,rep,TX,4.0
431,Pfluger,August Pfluger,rep,TX,11.0
432,Jackson,Ronny Jackson,rep,TX,13.0
433,Nehls,Troy E. Nehls,rep,TX,22.0
434,Gonzales,Tony Gonzales,rep,TX,23.0
435,Van Duyne,Beth Van Duyne,rep,TX,24.0
436,Moore,Blake D. Moore,rep,UT,1.0
437,Owens,Burgess Owens,rep,UT,4.0
438,Good,Bob Good,rep,VA,5.0
439,Strickland,Marilyn Strickland,rep,WA,10.0
440,Fitzgerald,Scott Fitzgerald,rep,WI,5.0
441,Padilla,Alex Padilla,sen,CA,
442,Ossoff,Jon Ossoff,sen,GA,
443,Warnock,Raphael G. Warnock,sen,GA,
444,Tenney,Claudia Tenney,rep,NY,24.0
445,Letlow,Julia Letlow,rep,LA,5.0
446,Carter,Troy A. Carter,rep,LA,2.0
447,Stansbury,Melanie A. Stansbury,rep,NM,1.0
448,Ellzey,Jake Ellzey,rep,TX,6.0
449,Brown,Shontel M. Brown,rep,OH,11.0
450,Carey,Mike Carey,rep,OH,15.0
451,Cherfilus-McCormick,Sheila Cherfilus-McCormick,rep,FL,20.0
452,Flood,Mike Flood,rep,NE,1.0
453,Finstad,Brad Finstad,rep,MN,1.0
