id,vote,name,party, 404, 405, 544, 549, and 550.
387,3,Aye,Rep. Delia Ramirez [D],Democrat,,,,
388,13,Aye,Rep. Nicole (Nikki) Budzinski [D],Democrat,,,,
389,17,Aye,Rep. Eric Sorensen [D],Democrat,,,,
390,9,No,Rep. Erin Houchin [R],Republican,,,,
391,3,Aye,Rep. Morgan McGarvey [D],Democrat,,,,
392,4,Aye,Rep. Glenn Ivey [D],Democrat,,,,
393,3,Aye,Rep. Hillary Scholten [D],Democrat,,,,
394,10,No,Rep. John James [R],Republican,,,,
395,13,Aye,Rep. Shri Thanedar [D],Democrat,,,,
396,4,No,Rep. Mark Alford [R],Republican,,,,
397,7,No,Rep. Eric Burlison [R],Republican,,,,
398,4,No,Rep. Mike Ezell [R],Republican,,,,
399,1,Aye,Rep. Donald Davis [D],Democrat,,,,
400,4,Aye,Rep. Valerie Foushee [D],Democrat,,,,
401,11,No,Rep. Charles (Chuck) Edwards [R],Republican,,,,
402,13,Aye,Rep. Wiley Nickel [D],Democrat,,,,
403,14,Aye,Rep. Jeffrey Jackson [D],Democrat,,,,
404,7,No,Rep. Thomas Kean [R],Republican,,,,
405,8,Aye,Rep. Robert Jacobsen Menendez [D],Democrat,,,,
406,2,Aye,Rep. Gabriel (Gabe) Vasquez [D],Democrat,,,,
407,1,No,Rep. Nicolas LaLota [R],Republican,,,,
408,3,No,Rep. George Santos [R],Republican,,,,
409,4,No,Rep. Anthony D'Esposito [R],Republican,,,,
410,10,Aye,Rep. Dan Goldman [D],Democrat,,,,
411,17,No,Rep. Michael Lawler [R],Republican,,,,
412,19,No,Rep. Marcus Molinaro [R],Republican,,,,
413,22,No,Rep. Brandon Williams [R],Republican,,,,
414,23,No,Rep. Nicholas Langworthy [R],Republican,,,,
415,1,Aye,Rep. Greg Landsman [D],Democrat,,,,
416,7,No,Rep. Max Miller [R],Republican,,,,
417,13,Aye,Rep. Emilia Sykes [D],Democrat,,,,
418,2,No,Rep. Josh Brecheen [R],Republican,,,,
419,4,Aye,Rep. Valerie Hoyle [D],Democrat,,,,
420,5,No,Rep. Lori Chavez-DeRemer [R],Republican,,,,
421,6,Aye,Rep. Andrea Salinas [D],Democrat,,,,
422,12,Aye,Rep. Summer Lee [D],Democrat,,,,
423,17,Aye,Rep. Chris Deluzio [D],Democrat,,,,
424,2,Aye,Rep. Seth Magaziner [D],Democrat,,,,
425,7,No,Rep. Russell Fry [R],Republican,,,,
426,5,No,Rep. Andrew Ogles [R],Republican,,,,
427,1,No,Rep. Nathaniel Moran [R],Republican,,,,
428,3,No,Rep. Keith Self [R],Republican,,,,
429,8,No,Rep. Morgan Luttrell [R],Republican,,,,
430,15,No,Rep. Mónica De La Cruz [R],Republican,,,,
431,30,Aye,Rep. Jasmine Crockett [D],Democrat,,,,
432,35,Aye,Rep. Gregorio Casar [D],Democrat,,,,
433,38,No,Rep. Wesley Hunt [R],Republican,,,,
434,2,No,Rep. Jennifer Kiggans [R],Republican,,,,
435,0,Aye,Rep. Becca Balint [D],Democrat,,,,
436,3,Aye,Rep. Marie Gluesenkamp Perez [D],Democrat,,,,
437,3,No,Rep. Derrick Van Orden [R],Republican,,,,
438,0,No,Rep. Harriet Hageman [R],Republican,,,,
439,4,Aye,Rep. Jennifer McClellan [D],Democrat,,,,
