id,vote,name,party, 89, 90, 91, 92, 93, 94, 99, 100, 101, 102, 103, and 104.
279,14,Aye,Rep. Guy Reschenthaler [R],Republican,,,,,,,,,,,
280,4,Aye,Rep. William Timmons [R],Republican,,,,,,,,,,,
281,0,Aye,Rep. Dusty Johnson [R],Republican,,,,,,,,,,,
282,2,No,Rep. Tim Burchett [R],Republican,,,,,,,,,,,
283,6,Aye,Rep. John W. Rose [R],Republican,,,,,,,,,,,
284,7,Aye,Rep. Mark E. Green [R],Republican,,,,,,,,,,,
285,2,Aye,Rep. Dan Crenshaw [R],Republican,,,,,,,,,,,
286,5,Aye,Rep. Lance Gooden [R],Republican,,,,,,,,,,,
287,7,Aye,Rep. Lizzie Fletcher [D],Democrat,,,,,,,,,,,
288,16,Aye,Rep. Veronica Escobar [D],Democrat,,,,,,,,,,,
289,21,Not Voting,Rep. Chip Roy [R],Republican,,,,,,,,,,,
290,29,Not Voting,Rep. Sylvia Garcia [D],Democrat,,,,,,,,,,,
291,32,Aye,Rep. Colin Allred [D],Democrat,,,,,,,,,,,
292,6,Aye,Rep. Ben Cline [R],Republican,,,,,,,,,,,
293,7,Aye,Rep. Abigail Spanberger [D],Democrat,,,,,,,,,,,
294,10,Not Voting,Rep. Jennifer Wexton [D],Democrat,,,,,,,,,,,
295,8,Aye,Rep. Kim Schrier [D],Democrat,,,,,,,,,,,
296,1,Aye,Rep. Bryan Steil [R],Republican,,,,,,,,,,,
297,1,Aye,Rep. Carol Miller [R],Republican,,,,,,,,,,,
298,2,Aye,Rep. Jared Golden [D],Democrat,,,,,,,,,,,
299,8,Aye,Rep. Dan Bishop [R],Republican,,,,,,,,,,,
300,3,Aye,Rep. Gregory Murphy [R],Republican,,,,,,,,,,,
301,7,No,Rep. Thomas Tiffany [R],Republican,,,,,,,,,,,
302,27,Aye,Rep. Mike Garcia [R],Republican,,,,,,,,,,,
303,1,Aye,Rep. Jerry Carl [R],Republican,,,,,,,,,,,
304,2,Aye,Rep. Barry Moore [R],Republican,,,,,,,,,,,
305,23,No,Rep. Jay Obernolte [R],Republican,,,,,,,,,,,
306,40,Aye,Rep. Young Kim [R],Republican,,,,,,,,,,,
307,45,Aye,Rep. Michelle Steel [R],Republican,,,,,,,,,,,
308,51,Aye,Rep. Sara Jacobs [D],Democrat,,,,,,,,,,,
309,3,Aye,Rep. Lauren Boebert [R],Republican,,,,,,,,,,,
310,3,Not Voting,Rep. Katherine “Kat” Cammack [R],Republican,,,,,,,,,,,
311,18,Aye,Rep. Scott Franklin [R],Republican,,,,,,,,,,,
312,19,Aye,Rep. Byron Donalds [R],Republican,,,,,,,,,,,
313,28,Aye,Rep. Carlos Gimenez [R],Republican,,,,,,,,,,,
314,27,Aye,Rep. Maria Salazar [R],Republican,,,,,,,,,,,
315,5,Aye,Rep. Nikema Williams [D],Democrat,,,,,,,,,,,
316,9,No,Rep. Andrew Clyde [R],Republican,,,,,,,,,,,
317,14,Aye,Rep. Marjorie Taylor Greene [R],Republican,,,,,,,,,,,
318,2,Aye,Rep. Ashley Hinson [R],Republican,,,,,,,,,,,
319,1,Aye,Rep. Mariannette Miller-Meeks [R],Republican,,,,,,,,,,,
320,4,Aye,Rep. Randy Feenstra [R],Republican,,,,,,,,,,,
321,15,Aye,Rep. Mary Miller [R],Republican,,,,,,,,,,,
322,1,Aye,Rep. Frank Mrvan [D],Democrat,,,,,,,,,,,
323,5,Aye,Rep. Victoria Spartz [R],Republican,,,,,,,,,,,
324,1,Aye,Rep. Tracey Mann [R],Republican,,,,,,,,,,,
325,2,Aye,Rep. Jacob “Jake” LaTurner [R],Republican,,,,,,,,,,,
326,4,Aye,Rep. Jake Auchincloss [D],Democrat,,,,,,,,,,,
327,9,Aye,Rep. Lisa McClain [R],Republican,,,,,,,,,,,
328,7,Aye,Rep. Michelle Fischbach [R],Republican,,,,,,,,,,,
329,1,No,Rep. Cori Bush [D],Democrat,,,,,,,,,,,
330,2,No,Rep. Matthew Rosendale [R],Republican,,,,,,,,,,,
331,2,Aye,Rep. Deborah Ross [D],Democrat,,,,,,,,,,,
332,6,Aye,Rep. Kathy Manning [D],Democrat,,,,,,,,,,,
333,3,Aye,Rep. Teresa Leger Fernandez [D],Democrat,,,,,,,,,,,
334,2,Aye,Rep. Andrew Garbarino [R],Republican,,,,,,,,,,,
335,11,Aye,Rep. Nicole Malliotakis [R],Republican,,,,,,,,,,,
336,15,Aye,Rep. Ritchie Torres [D],Democrat,,,,,,,,,,,
337,16,No,Rep. Jamaal Bowman [D],Democrat,,,,,,,,,,,
338,5,Aye,Rep. Stephanie Bice [R],Republican,,,,,,,,,,,
339,2,Aye,Rep. Cliff Bentz [R],Republican,,,,,,,,,,,
340,1,Not Voting,Rep. Nancy Mace [R],Republican,,,,,,,,,,,
341,1,Aye,Rep. Diana Harshbarger [R],Republican,,,,,,,,,,,
342,4,Aye,Rep. Patrick “Pat” Fallon [R],Republican,,,,,,,,,,,
343,11,Aye,Rep. August Pfluger [R],Republican,,,,,,,,,,,
344,13,No,Rep. Ronny Jackson [R],Republican,,,,,,,,,,,
345,22,Aye,Rep. Troy Nehls [R],Republican,,,,,,,,,,,
346,23,Aye,Rep. Ernest “Tony” Gonzales [R],Republican,,,,,,,,,,,
347,24,Aye,Rep. Beth Van Duyne [R],Republican,,,,,,,,,,,
348,1,Aye,Rep. Blake Moore [R],Republican,,,,,,,,,,,
349,4,Not Voting,Rep. Clarence “Burgess” Owens [R],Republican,,,,,,,,,,,
