id,vote,name,party, tuition for private school, and e
300,8,Aye,Rep. Dan Bishop [R],Republican,
301,3,No,Rep. Gregory Murphy [R],Republican,
302,7,Aye,Rep. Thomas Tiffany [R],Republican,
303,27,No,Rep. Mike Garcia [R],Republican,
304,1,No,Rep. Jerry Carl [R],Republican,
305,2,Aye,Rep. Barry Moore [R],Republican,
306,23,No,Rep. Jay Obernolte [R],Republican,
307,40,No,Rep. Young Kim [R],Republican,
308,45,No,Rep. Michelle Steel [R],Republican,
309,51,No,Rep. Sara Jacobs [D],Democrat,
310,3,Aye,Rep. Lauren Boebert [R],Republican,
311,3,Aye,Rep. Katherine “Kat” Cammack [R],Republican,
312,18,Aye,Rep. Scott Franklin [R],Republican,
313,19,Aye,Rep. Byron Donalds [R],Republican,
314,28,No,Rep. Carlos Gimenez [R],Republican,
315,27,No,Rep. Maria Salazar [R],Republican,
316,5,No,Rep. Nikema Williams [D],Democrat,
317,9,Aye,Rep. Andrew Clyde [R],Republican,
318,14,Aye,Rep. Marjorie Taylor Greene [R],Republican,
319,2,No,Rep. Ashley Hinson [R],Republican,
320,1,No,Rep. Mariannette Miller-Meeks [R],Republican,
321,4,Aye,Rep. Randy Feenstra [R],Republican,
322,15,Aye,Rep. Mary Miller [R],Republican,
323,1,No,Rep. Frank Mrvan [D],Democrat,
324,5,Aye,Rep. Victoria Spartz [R],Republican,
325,1,Aye,Rep. Tracey Mann [R],Republican,
326,2,Aye,Rep. Jacob “Jake” LaTurner [R],Republican,
327,4,No,Rep. Jake Auchincloss [D],Democrat,
328,9,No,Rep. Lisa McClain [R],Republican,
329,7,Aye,Rep. Michelle Fischbach [R],Republican,
330,1,No,Rep. Cori Bush [D],Democrat,
331,2,Aye,Rep. Matthew Rosendale [R],Republican,
332,2,No,Rep. Deborah Ross [D],Democrat,
333,6,No,Rep. Kathy Manning [D],Democrat,
334,3,Not Voting,Rep. Teresa Leger Fernandez [D],Democrat,
335,2,No,Rep. Andrew Garbarino [R],Republican,
336,11,No,Rep. Nicole Malliotakis [R],Republican,
337,15,No,Rep. Ritchie Torres [D],Democrat,
338,16,No,Rep. Jamaal Bowman [D],Democrat,
