id,vote,name,party, and staff.
394,4,Yea,Rep. Valerie Foushee [D],Democrat
395,11,Yea,Rep. Charles (Chuck) Edwards [R],Republican
396,13,Yea,Rep. Wiley Nickel [D],Democrat
397,14,Yea,Rep. Jeffrey Jackson [D],Democrat
398,7,Yea,Rep. Thomas Kean [R],Republican
399,8,Yea,Rep. Robert Jacobsen Menendez [D],Democrat
400,2,Yea,Rep. Gabriel (Gabe) Vasquez [D],Democrat
401,1,Yea,Rep. Nicolas LaLota [R],Republican
402,3,Yea,Rep. George Santos [R],Republican
403,4,Yea,Rep. Anthony D'Esposito [R],Republican
404,10,Yea,Rep. Dan Goldman [D],Democrat
405,17,Yea,Rep. Michael Lawler [R],Republican
406,19,Yea,Rep. Marcus Molinaro [R],Republican
407,22,Yea,Rep. Brandon Williams [R],Republican
408,23,Yea,Rep. Nicholas Langworthy [R],Republican
409,1,Yea,Rep. Greg Landsman [D],Democrat
410,7,Yea,Rep. Max Miller [R],Republican
411,13,Yea,Rep. Emilia Sykes [D],Democrat
412,2,Yea,Rep. Josh Brecheen [R],Republican
413,4,Yea,Rep. Valerie Hoyle [D],Democrat
414,5,Yea,Rep. Lori Chavez-DeRemer [R],Republican
415,6,Yea,Rep. Andrea Salinas [D],Democrat
416,12,Nay,Rep. Summer Lee [D],Democrat
417,17,Yea,Rep. Chris Deluzio [D],Democrat
418,2,Yea,Rep. Seth Magaziner [D],Democrat
419,7,Yea,Rep. Russell Fry [R],Republican
420,5,Yea,Rep. Andrew Ogles [R],Republican
421,1,Yea,Rep. Nathaniel Moran [R],Republican
422,3,Yea,Rep. Keith Self [R],Republican
423,8,Yea,Rep. Morgan Luttrell [R],Republican
424,15,Yea,Rep. Mónica De La Cruz [R],Republican
425,30,Yea,Rep. Jasmine Crockett [D],Democrat
426,35,Yea,Rep. Gregorio Casar [D],Democrat
427,38,Yea,Rep. Wesley Hunt [R],Republican
428,2,Yea,Rep. Jennifer Kiggans [R],Republican
429,0,Yea,Rep. Becca Balint [D],Democrat
430,3,Yea,Rep. Marie Gluesenkamp Perez [D],Democrat
431,3,Yea,Rep. Derrick Van Orden [R],Republican
432,0,Yea,Rep. Harriet Hageman [R],Republican
433,4,Yea,Rep. Jennifer McClellan [D],Democrat
