id,vote,name,party, 79, 83, 97, 118, 128, 139, 151, and 160.
197,2,Aye,"Rep. Chris Stewart [R, 2013-2023]",Republican,,,,,,,
198,6,No,"Rep. Derek Kilmer [D, 2013-2024]",Democrat,,,,,,,
199,2,No,"Rep. Mark Pocan [D, 2013-2024]",Democrat,,,,,,,
200,2,No,"Rep. Robin Kelly [D, 2013-2024]",Democrat,,,,,,,
201,8,Aye,"Rep. Jason Smith [R, 2013-2024]",Republican,,,,,,,
202,5,No,"Rep. Katherine Clark [D, 2013-2024]",Democrat,,,,,,,
203,1,No,"Rep. Donald Norcross [D, 2014-2024]",Democrat,,,,,,,
204,12,No,"Rep. Alma Adams [D, 2014-2024]",Democrat,,,,,,,
205,6,Aye,"Rep. Gary Palmer [R, 2015-2024]",Republican,,,,,,,
206,2,Aye,"Rep. French Hill [R, 2015-2024]",Republican,,,,,,,
207,4,Aye,"Rep. Bruce Westerman [R, 2015-2024]",Republican,,,,,,,
208,7,No,"Rep. Ruben Gallego [D, 2015-2022]",Democrat,,,,,,,
209,11,No,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat,,,,,,,
210,31,No,"Rep. Pete Aguilar [D, 2015-2022]",Democrat,,,,,,,
211,33,No,"Rep. Ted Lieu [D, 2015-2022]",Democrat,,,,,,,
212,35,No,"Rep. Norma Torres [D, 2015-2024]",Democrat,,,,,,,
213,4,Aye,"Rep. Ken Buck [R, 2015-2024]",Republican,,,,,,,
214,1,Aye,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican,,,,,,,
215,10,Aye,"Rep. Jody Hice [R, 2015-2022]",Republican,,,,,,,
216,11,Aye,"Rep. Barry Loudermilk [R, 2015-2024]",Republican,,,,,,,
217,12,Aye,"Rep. Rick Allen [R, 2015-2024]",Republican,,,,,,,
218,12,Aye,"Rep. Mike Bost [R, 2015-2024]",Republican,,,,,,,
219,6,Aye,"Rep. Garret Graves [R, 2015-2024]",Republican,,,,,,,
220,6,No,"Rep. Seth Moulton [D, 2015-2024]",Democrat,,,,,,,
221,4,Aye,"Rep. John Moolenaar [R, 2015-2022]",Republican,,,,,,,
222,12,No,"Rep. Debbie Dingell [D, 2015-2022]",Democrat,,,,,,,
223,14,No,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat,,,,,,,
224,6,Aye,"Rep. Tom Emmer [R, 2015-2024]",Republican,,,,,,,
225,7,Aye,"Rep. David Rouzer [R, 2015-2024]",Republican,,,,,,,
226,12,No,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat,,,,,,,
227,1,Aye,"Rep. Lee Zeldin [R, 2015-2022]",Republican,,,,,,,
228,4,No,"Rep. Kathleen Rice [D, 2015-2022]",Democrat,,,,,,,
229,21,Aye,"Rep. Elise Stefanik [R, 2015-2024]",Republican,,,,,,,
230,24,No,"Rep. John Katko [R, 2015-2022]",Republican,,,,,,,
231,2,No,"Rep. Brendan Boyle [D, 2019-2024]",Democrat,,,,,,,
232,36,Aye,"Rep. Brian Babin [R, 2015-2024]",Republican,,,,,,,
233,8,No,"Rep. Donald Beyer [D, 2015-2024]",Democrat,,,,,,,
234,0,No,"Rep. Stacey Plaskett [D, 2015-2024]",Democrat,,,,,,,
235,4,Aye,"Rep. Dan Newhouse [R, 2015-2024]",Republican,,,,,,,
236,6,Aye,"Rep. Glenn Grothman [R, 2015-2024]",Republican,,,,,,,
237,2,Aye,"Rep. Alexander Mooney [R, 2015-2024]",Republican,,,,,,,
238,0,Not Voting,"Rep. Aumua Amata Radewagen [R, 2015-2024]",Republican,,,,,,,
239,1,Aye,"Rep. Trent Kelly [R, 2015-2024]",Republican,,,,,,,
240,18,Aye,"Rep. Darin LaHood [R, 2015-2022]",Republican,,,,,,,
241,8,Aye,"Rep. Warren Davidson [R, 2016-2024]",Republican,,,,,,,
242,1,Aye,"Rep. James Comer [R, 2016-2024]",Republican,,,,,,,
243,3,No,"Rep. Dwight Evans [D, 2019-2024]",Democrat,,,,,,,
244,1,No,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat,,,,,,,
245,5,Aye,"Rep. Andy Biggs [R, 2017-2024]",Republican,,,,,,,
246,17,No,"Rep. Ro Khanna [D, 2017-2024]",Democrat,,,,,,,
247,20,No,"Rep. Jimmy Panetta [D, 2017-2022]",Democrat,,,,,,,
248,24,No,"Rep. Salud Carbajal [D, 2017-2024]",Democrat,,,,,,,
249,44,No,"Rep. Nanette Barragán [D, 2017-2024]",Democrat,,,,,,,
250,46,No,"Rep. Luis Correa [D, 2017-2024]",Democrat,,,,,,,
251,0,No,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat,,,,,,,
252,1,Aye,"Rep. Matt Gaetz [R, 2017-2024]",Republican,,,,,,,
253,2,Aye,"Rep. Neal Dunn [R, 2017-2024]",Republican,,,,,,,
254,4,Aye,"Rep. John Rutherford [R, 2017-2022]",Republican,,,,,,,
255,5,No,"Rep. Al Lawson [D, 2017-2022]",Democrat,,,,,,,
256,7,No,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat,,,,,,,
