id,vote,name,party, 45, 77, 78, 79, 80, 81, 82, 98, 107, 120, 122, 125, 134, and 135.
253,1,Yea,"Rep. Matt Gaetz [R, 2017-2024]",Republican,,,,,,,,,,,,,
254,2,Yea,"Rep. Neal Dunn [R, 2017-2024]",Republican,,,,,,,,,,,,,
255,4,Yea,"Rep. John Rutherford [R, 2017-2022]",Republican,,,,,,,,,,,,,
256,5,Nay,"Rep. Al Lawson [D, 2017-2022]",Democrat,,,,,,,,,,,,,
257,7,Nay,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat,,,,,,,,,,,,,
258,9,Nay,"Rep. Darren Soto [D, 2017-2024]",Democrat,,,,,,,,,,,,,
259,10,Nay,"Rep. Val Demings [D, 2017-2022]",Democrat,,,,,,,,,,,,,
260,13,Nay,"Rep. Charlie Crist [D, 2017-2022]",Democrat,,,,,,,,,,,,,
261,18,Yea,"Rep. Brian Mast [R, 2017-2022]",Republican,,,,,,,,,,,,,
262,3,Yea,"Rep. Drew Ferguson [R, 2017-2024]",Republican,,,,,,,,,,,,,
263,8,Nay,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat,,,,,,,,,,,,,
264,3,Not Voting,"Rep. Jim Banks [R, 2017-2024]",Republican,,,,,,,,,,,,,
265,9,Yea,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican,,,,,,,,,,,,,
266,3,Not Voting,"Rep. Clay Higgins [R, 2017-2024]",Republican,,,,,,,,,,,,,
267,4,Not Voting,"Rep. Mike Johnson [R, 2017-2024]",Republican,,,,,,,,,,,,,
268,4,Nay,"Rep. Anthony Brown [D, 2017-2022]",Democrat,,,,,,,,,,,,,
269,8,Nay,"Rep. Jamie Raskin [D, 2017-2024]",Democrat,,,,,,,,,,,,,
270,1,Yea,"Rep. Jack Bergman [R, 2017-2024]",Republican,,,,,,,,,,,,,
271,13,Yea,"Rep. Ted Budd [R, 2017-2022]",Republican,,,,,,,,,,,,,
272,2,Nay,"Rep. Don Bacon [R, 2017-2024]",Republican,,,,,,,,,,,,,
273,5,Nay,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat,,,,,,,,,,,,,
274,3,Nay,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat,,,,,,,,,,,,,
275,13,Nay,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat,,,,,,,,,,,,,
276,22,Yea,"Rep. Claudia Tenney [R, 2021-2022]",Republican,,,,,,,,,,,,,
277,1,Nay,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican,,,,,,,,,,,,,
