id,vote,name,party, 33, 34, 36, 37, 40, 42, 46, 47, 48, 49, 50, 52, 56, 57, 59, 60, 61, 64, 65, 69, 74, 75
184,8,Aye,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
185,18,Aye,"Rep. Sean Maloney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
186,2,No,"Rep. Brad Wenstrup [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
187,3,Aye,"Rep. Joyce Beatty [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
188,14,Aye,"Rep. David Joyce [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
189,2,No,"Rep. Markwayne Mullin [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
190,10,No,"Rep. Scott Perry [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
191,8,Aye,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
192,7,No,"Rep. Tom Rice [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,
193,14,No,"Rep. Randy Weber [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
194,20,Aye,"Rep. Joaquin Castro [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
195,25,No,"Rep. Roger Williams [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
196,33,Aye,"Rep. Marc Veasey [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
197,2,Aye,"Rep. Chris Stewart [R, 2013-2023]",Republican,,,,,,,,,,,,,,,,,,,,,
198,6,Aye,"Rep. Derek Kilmer [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
199,2,Aye,"Rep. Mark Pocan [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
200,2,Aye,"Rep. Robin Kelly [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
201,8,Aye,"Rep. Jason Smith [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
202,5,Aye,"Rep. Katherine Clark [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
203,1,Aye,"Rep. Donald Norcross [D, 2014-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
204,12,Aye,"Rep. Alma Adams [D, 2014-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
205,6,No,"Rep. Gary Palmer [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
206,2,Aye,"Rep. French Hill [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
207,4,Aye,"Rep. Bruce Westerman [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
208,7,Aye,"Rep. Ruben Gallego [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
209,11,Aye,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
210,31,Aye,"Rep. Pete Aguilar [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
211,33,Aye,"Rep. Ted Lieu [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,
212,35,Aye,"Rep. Norma Torres [D, 2015-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,
213,4,No,"Rep. Ken Buck [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,,,,,,
