id,vote,name,party, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29
305,8,Yea,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
306,3,Nay,"Rep. Jim Banks [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
307,9,Nay,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
308,1,Not Voting,"Rep. Roger Marshall [R, 2017-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,
309,3,Nay,"Rep. Clay Higgins [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
310,4,Nay,"Rep. Mike Johnson [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
311,4,Yea,"Rep. Anthony Brown [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
312,8,Yea,"Rep. Jamie Raskin [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
313,1,Nay,"Rep. Jack Bergman [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
314,10,Nay,"Rep. Paul Mitchell [I, 2017-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,
315,13,Nay,"Rep. Ted Budd [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,
316,2,Nay,"Rep. Don Bacon [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,
317,5,Yea,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,
