id,vote,name,party, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, and 28.
141,1,No,"Rep. David “Phil” Roe [R, 2009-2020]",Republican,,,,,,,,,,,,,,
142,0,Aye,"Rep. Gregorio Sablan [D, 2009-2024]",Democrat,,,,,,,,,,,,,,
143,5,Aye,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,,,,,,,,,,,,,,
144,15,Not Voting,"Rep. Glenn Thompson [R, 2019-2024]",Republican,,,,,,,,,,,,,,
145,1,Aye,"Rep. Dina Titus [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
146,20,Aye,"Rep. Paul Tonko [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
147,11,Aye,"Rep. Marcia Fudge [D, 2008-2021]",Democrat,,,,,,,,,,,,,,
148,5,Aye,"Rep. Mike Quigley [D, 2009-2024]",Democrat,,,,,,,,,,,,,,
149,27,Aye,"Rep. Judy Chu [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
150,3,Aye,"Rep. John Garamendi [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
151,22,Aye,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat,,,,,,,,,,,,,,
152,14,No,"Rep. Tom Graves [R, 2013-2020]",Republican,,,,,,,,,,,,,,
153,23,Aye,"Rep. Tom Reed [R, 2013-2022]",Republican,,,,,,,,,,,,,,
154,2,No,"Rep. Martha Roby [R, 2011-2020]",Republican,,,,,,,,,,,,,,
155,5,No,"Rep. Mo Brooks [R, 2011-2022]",Republican,,,,,,,,,,,,,,
156,7,Aye,"Rep. Terri Sewell [D, 2011-2024]",Democrat,,,,,,,,,,,,,,
157,4,No,"Rep. Paul Gosar [R, 2013-2022]",Republican,,,,,,,,,,,,,,
158,6,No,"Rep. David Schweikert [R, 2013-2022]",Republican,,,,,,,,,,,,,,
159,1,No,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican,,,,,,,,,,,,,,
160,3,No,"Rep. Steve Womack [R, 2011-2024]",Republican,,,,,,,,,,,,,,
161,37,Aye,"Rep. Karen Bass [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
162,3,No,"Rep. Scott Tipton [R, 2011-2020]",Republican,,,,,,,,,,,,,,
163,11,No,"Rep. Daniel Webster [R, 2017-2024]",Republican,,,,,,,,,,,,,,
164,24,Aye,"Rep. Frederica Wilson [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
165,7,No,"Rep. Rob Woodall [R, 2011-2020]",Republican,,,,,,,,,,,,,,
166,8,No,"Rep. Austin Scott [R, 2011-2024]",Republican,,,,,,,,,,,,,,
167,16,No,"Rep. Adam Kinzinger [R, 2013-2022]",Republican,,,,,,,,,,,,,,
