id,vote,name,party, 8, 9, 10, 13, 17, 18, 21, 22, 23, 24, 27, 28, 29, 31, 33, 39, 58, 61, 64, 65, 70, 72, 78, 83,Unnamed: 29
144,11,Yea,"Rep. Marcia Fudge [D, 2008-2021]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
145,5,Yea,"Rep. Mike Quigley [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
146,27,Yea,"Rep. Judy Chu [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
147,3,Yea,"Rep. John Garamendi [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
148,22,Yea,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
149,14,Nay,"Rep. Tom Graves [R, 2013-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
150,23,Nay,"Rep. Tom Reed [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
151,2,Not Voting,"Rep. Martha Roby [R, 2011-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
152,5,Nay,"Rep. Mo Brooks [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
153,7,Yea,"Rep. Terri Sewell [D, 2011-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
154,4,Nay,"Rep. Paul Gosar [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
155,6,Nay,"Rep. David Schweikert [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
156,1,Nay,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
157,3,Nay,"Rep. Steve Womack [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
158,37,Yea,"Rep. Karen Bass [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
159,3,Nay,"Rep. Scott Tipton [R, 2011-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
160,11,Nay,"Rep. Daniel Webster [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
161,24,Yea,"Rep. Frederica Wilson [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
162,7,Nay,"Rep. Rob Woodall [R, 2011-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
163,8,Nay,"Rep. Austin Scott [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
164,16,Nay,"Rep. Adam Kinzinger [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
165,8,Nay,"Rep. Larry Bucshon [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
166,2,Yea,"Rep. Cedric Richmond [D, 2011-2021]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
