id,vote,name,party, Food and Drug Administration, Interior, Environment, Military ...
277,2,No,"Rep. Brendan Boyle [D, 2019-2024]",Democrat,,,
278,4,Aye,"Rep. John Ratcliffe [R, 2015-2020]",Republican,,,
279,23,Aye,"Rep. Will Hurd [R, 2015-2020]",Republican,,,
280,36,Aye,"Rep. Brian Babin [R, 2015-2024]",Republican,,,
281,8,No,"Rep. Donald Beyer [D, 2015-2024]",Democrat,,,
282,4,Aye,"Rep. Dan Newhouse [R, 2015-2024]",Republican,,,
283,6,Aye,"Rep. Glenn Grothman [R, 2015-2024]",Republican,,,
284,2,Aye,"Rep. Alexander Mooney [R, 2015-2024]",Republican,,,
285,6,Aye,"Rep. Mark Walker [R, 2015-2020]",Republican,,,
286,1,Aye,"Rep. Trent Kelly [R, 2015-2024]",Republican,,,
287,18,Aye,"Rep. Darin LaHood [R, 2015-2022]",Republican,,,
288,8,Aye,"Rep. Warren Davidson [R, 2016-2024]",Republican,,,
289,1,Aye,"Rep. James Comer [R, 2016-2024]",Republican,,,
290,3,No,"Rep. Dwight Evans [D, 2019-2024]",Democrat,,,
291,1,No,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat,,,
292,5,Aye,"Rep. Andy Biggs [R, 2017-2024]",Republican,,,
293,17,No,"Rep. Ro Khanna [D, 2017-2024]",Democrat,,,
294,20,No,"Rep. Jimmy Panetta [D, 2017-2022]",Democrat,,,
295,24,No,"Rep. Salud Carbajal [D, 2017-2024]",Democrat,,,
296,44,No,"Rep. Nanette Barragán [D, 2017-2024]",Democrat,,,
297,46,No,"Rep. Luis Correa [D, 2017-2024]",Democrat,,,
298,0,No,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat,,,
299,1,Aye,"Rep. Matt Gaetz [R, 2017-2024]",Republican,,,
300,2,Aye,"Rep. Neal Dunn [R, 2017-2024]",Republican,,,
301,4,Aye,"Rep. John Rutherford [R, 2017-2022]",Republican,,,
302,5,No,"Rep. Al Lawson [D, 2017-2022]",Democrat,,,
303,7,No,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat,,,
304,9,No,"Rep. Darren Soto [D, 2017-2024]",Democrat,,,
305,10,No,"Rep. Val Demings [D, 2017-2022]",Democrat,,,
306,13,No,"Rep. Charlie Crist [D, 2017-2022]",Democrat,,,
307,18,Aye,"Rep. Brian Mast [R, 2017-2022]",Republican,,,
308,19,Not Voting,"Rep. Francis Rooney [R, 2017-2020]",Republican,,,
