id,vote,name,party, and for other purpose
272,12,Aye,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat
273,1,No,"Rep. Lee Zeldin [R, 2015-2022]",Republican
274,4,Aye,"Rep. Kathleen Rice [D, 2015-2022]",Democrat
275,21,No,"Rep. Elise Stefanik [R, 2015-2024]",Republican
276,24,No,"Rep. John Katko [R, 2015-2022]",Republican
277,2,Aye,"Rep. Brendan Boyle [D, 2019-2024]",Democrat
278,4,Not Voting,"Rep. John Ratcliffe [R, 2015-2020]",Republican
279,23,No,"Rep. Will Hurd [R, 2015-2020]",Republican
280,36,No,"Rep. Brian Babin [R, 2015-2024]",Republican
281,8,Aye,"Rep. Donald Beyer [D, 2015-2024]",Democrat
282,4,No,"Rep. Dan Newhouse [R, 2015-2024]",Republican
283,6,No,"Rep. Glenn Grothman [R, 2015-2024]",Republican
284,2,No,"Rep. Alexander Mooney [R, 2015-2024]",Republican
285,6,No,"Rep. Mark Walker [R, 2015-2020]",Republican
286,1,No,"Rep. Trent Kelly [R, 2015-2024]",Republican
287,18,No,"Rep. Darin LaHood [R, 2015-2022]",Republican
288,8,No,"Rep. Warren Davidson [R, 2016-2024]",Republican
289,1,No,"Rep. James Comer [R, 2016-2024]",Republican
290,3,Aye,"Rep. Dwight Evans [D, 2019-2024]",Democrat
291,1,Aye,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat
292,5,No,"Rep. Andy Biggs [R, 2017-2024]",Republican
293,17,Aye,"Rep. Ro Khanna [D, 2017-2024]",Democrat
294,20,Aye,"Rep. Jimmy Panetta [D, 2017-2022]",Democrat
295,24,Aye,"Rep. Salud Carbajal [D, 2017-2024]",Democrat
296,44,Aye,"Rep. Nanette Barragán [D, 2017-2024]",Democrat
297,46,Aye,"Rep. Luis Correa [D, 2017-2024]",Democrat
298,0,Aye,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat
299,1,No,"Rep. Matt Gaetz [R, 2017-2024]",Republican
300,2,No,"Rep. Neal Dunn [R, 2017-2024]",Republican
301,4,No,"Rep. John Rutherford [R, 2017-2022]",Republican
302,5,Aye,"Rep. Al Lawson [D, 2017-2022]",Democrat
303,7,Aye,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat
304,9,Aye,"Rep. Darren Soto [D, 2017-2024]",Democrat
305,10,Aye,"Rep. Val Demings [D, 2017-2022]",Democrat
306,13,Aye,"Rep. Charlie Crist [D, 2017-2022]",Democrat
307,18,No,"Rep. Brian Mast [R, 2017-2022]",Republican
308,19,No,"Rep. Francis Rooney [R, 2017-2020]",Republican
309,3,No,"Rep. Drew Ferguson [R, 2017-2024]",Republican
310,8,Aye,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat
311,3,No,"Rep. Jim Banks [R, 2017-2024]",Republican
312,9,Not Voting,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican
313,1,No,"Rep. Roger Marshall [R, 2017-2020]",Republican
314,3,No,"Rep. Clay Higgins [R, 2017-2024]",Republican
315,4,No,"Rep. Mike Johnson [R, 2017-2024]",Republican
316,4,Aye,"Rep. Anthony Brown [D, 2017-2022]",Democrat
317,8,Aye,"Rep. Jamie Raskin [D, 2017-2024]",Democrat
318,1,No,"Rep. Jack Bergman [R, 2017-2024]",Republican
319,10,No,"Rep. Paul Mitchell [I, 2017-2020]",Republican
320,13,No,"Rep. Ted Budd [R, 2017-2022]",Republican
321,2,No,"Rep. Don Bacon [R, 2017-2024]",Republican
322,5,Aye,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat
323,3,Aye,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat
324,13,Aye,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat
325,1,No,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican
326,11,No,"Rep. Lloyd Smucker [R, 2019-2024]",Republican
327,8,No,"Rep. David Kustoff [R, 2017-2024]",Republican
328,15,Aye,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat
329,19,No,"Rep. Jodey Arrington [R, 2017-2024]",Republican
330,4,Aye,"Rep. Donald McEachin [D, 2017-2022]",Democrat
331,7,Aye,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat
332,8,No,"Rep. Mike Gallagher [R, 2017-2024]",Republican
333,0,No,"Rep. Liz Cheney [R, 2017-2022]",Republican
334,4,No,"Rep. Ron Estes [R, 2017-2024]",Republican
335,0,Not Voting,"Rep. Greg Gianforte [R, 2017-2020]",Republican
336,5,No,"Rep. Ralph Norman [R, 2017-2024]",Republican
337,34,Aye,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat
338,3,No,"Rep. John Curtis [R, 2017-2024]",Republican
339,17,Aye,"Rep. Conor Lamb [D, 2019-2022]",Democrat
340,8,No,"Rep. Debbie Lesko [R, 2018-2024]",Republican
341,27,No,"Rep. Michael Cloud [R, 2018-2024]",Republican
342,12,No,"Rep. Troy Balderson [R, 2018-2024]",Republican
343,1,No,"Rep. Kevin Hern [R, 2018-2024]",Republican
344,25,Aye,"Rep. Joseph Morelle [D, 2018-2024]",Democrat
345,5,Aye,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat
346,7,Aye,"Rep. Susan Wild [D, 2019-2024]",Democrat
347,9,Aye,"Rep. Greg Stanton [D, 2019-2022]",Democrat
348,10,Aye,"Rep. Josh Harder [D, 2019-2022]",Democrat
349,21,Aye,"Rep. TJ Cox [D, 2019-2020]",Democrat
350,25,Aye,"Rep. Katie Hill [D, 2019-2019]",Democrat
351,39,Aye,"Rep. Gilbert Cisneros [D, 2019-2020]",Democrat
352,45,Aye,"Rep. Katie Porter [D, 2019-2022]",Democrat
353,48,Aye,"Rep. Harley Rouda [D, 2019-2020]",Democrat
354,49,Aye,"Rep. Mike Levin [D, 2019-2024]",Democrat
355,2,Aye,"Rep. Joe Neguse [D, 2019-2024]",Democrat
356,6,Aye,"Rep. Jason Crow [D, 2019-2024]",Democrat
357,5,Aye,"Rep. Jahana Hayes [D, 2019-2024]",Democrat
358,6,No,"Rep. Michael Waltz [R, 2019-2024]",Republican
359,15,No,"Rep. Ross Spano [R, 2019-2020]",Republican
360,17,No,"Rep. Gregory Steube [R, 2019-2024]",Republican
361,26,Aye,"Rep. Debbie Mucarsel-Powell [D, 2019-2020]",Democrat
362,27,Aye,"Rep. Donna Shalala [D, 2019-2020]",Democrat
363,6,Aye,"Rep. Lucy McBath [D, 2019-2022]",Democrat
364,1,Aye,"Rep. Abby Finkenauer [D, 2019-2020]",Democrat
365,3,Aye,"Rep. Cynthia Axne [D, 2019-2022]",Democrat
366,1,No,"Rep. Russ Fulcher [R, 2019-2024]",Republican
367,4,Aye,"Rep. Jesús “Chuy” García [D, 2019-2024]",Democrat
368,6,Aye,"Rep. Sean Casten [D, 2019-2024]",Democrat
369,14,Aye,"Rep. Lauren Underwood [D, 2019-2024]",Democrat
370,4,No,"Rep. James Baird [R, 2019-2024]",Republican
371,6,No,"Rep. Greg Pence [R, 2019-2024]",Republican
372,2,No,"Rep. Steven Watkins [R, 2019-2020]",Republican
373,3,Aye,"Rep. Sharice Davids [D, 2019-2024]",Democrat
374,3,Aye,"Rep. Lori Trahan [D, 2019-2024]",Democrat
375,7,Aye,"Rep. Ayanna Pressley [D, 2019-2024]",Democrat
376,6,Aye,"Rep. David Trone [D, 2019-2024]",Democrat
377,8,Aye,"Rep. Elissa Slotkin [D, 2019-2022]",Democrat
378,9,Aye,"Rep. Andy Levin [D, 2019-2022]",Democrat
379,11,Aye,"Rep. Haley Stevens [D, 2019-2024]",Democrat
380,13,Aye,"Rep. Rashida Tlaib [D, 2019-2022]",Democrat
381,1,No,"Rep. Jim Hagedorn [R, 2019-2022]",Republican
382,2,Aye,"Rep. Angie Craig [D, 2019-2024]",Democrat
383,3,Aye,"Rep. Dean Phillips [D, 2019-2024]",Democrat
384,5,Aye,"Rep. Ilhan Omar [D, 2019-2024]",Democrat
385,8,No,"Rep. Pete Stauber [R, 2019-2024]",Republican
386,3,No,"Rep. Michael Guest [R, 2019-2024]",Republican
387,0,No,"Rep. Kelly Armstrong [R, 2019-2024]",Republican
388,1,Aye,"Rep. Chris Pappas [D, 2019-2024]",Democrat
389,2,Aye,"Rep. Jefferson Van Drew [R, 2019-2024]",Democrat
390,3,Aye,"Rep. Andy Kim [D, 2019-2024]",Democrat
391,7,Aye,"Rep. Tom Malinowski [D, 2019-2022]",Democrat
392,11,Aye,"Rep. Mikie Sherrill [D, 2019-2024]",Democrat
393,1,Aye,"Rep. Debra Haaland [D, 2019-2021]",Democrat
